sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it3_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.965820312,0.275714386,0,True,0.322569470,0.322569470
1,it3_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-4.726562500,0.008779109,0,True,0.008817872,0.008817872
2,it3_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-1.445312500,0.190724025,0,True,0.211615289,0.211615289
3,it3_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.808593750,0.308190240,0,True,0.368444274,0.368444274
4,it3_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-7.630859375,0.000485008,0,True,0.000485126,0.000485126
5,it3_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.829101562,0.055771692,0,True,0.057387290,0.057387290
6,it3_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-3.733398438,0.023353032,0,True,0.023630035,0.023630035
7,it3_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-6.456054688,0.001568517,0,True,0.001569749,0.001569749
8,it3_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-8.763671875,0.000156285,0,True,0.000156297,0.000156297
9,it3_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-5.652343750,0.003497010,0,True,0.003503139,0.003503139
10,it3_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-2.377929688,0.084871225,0,True,0.088690486,0.088690486
11,it3_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-6.744140625,0.001176375,0,True,0.001177067,0.001177067
12,it3_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-8.157226562,0.000286574,0,True,0.000286615,0.000286615
13,it3_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-3.750000000,0.022977370,0,True,0.023245464,0.023245464
14,it3_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-4.183593750,0.015014748,0,True,0.015128611,0.015128611
15,it3_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-5.332031250,0.004810983,0,True,0.004822593,0.004822593
16,it3_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-8.099609375,0.000303566,0,True,0.000303612,0.000303612
17,it3_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-3.239257812,0.037714817,0,True,0.038444424,0.038444424
18,it3_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-6.116210938,0.002201943,0,True,0.002204370,0.002204370
19,it3_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-5.132812500,0.005865338,0,True,0.005882607,0.005882607
20,it3_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-3.130859375,0.041852132,0,True,0.042753162,0.042753162
21,it3_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-6.484375000,0.001524786,0,True,0.001525950,0.001525950
22,it3_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-10.689453125,0.000022783,0,True,0.000022784,0.000022784
23,it3_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-3.608398438,0.026380424,0,True,0.026734630,0.026734630
24,it3_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-2.832031250,0.055617612,0,True,0.057224122,0.057224122
25,it3_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-1.750000000,0.148047198,0,True,0.160224150,0.160224150
26,it3_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-2.745117188,0.060363006,0,True,0.062261655,0.062261655
27,it3_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,1.155273438,0.760472813,1,False,1.429088354,1.429088354
28,it3_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.750000000,0.320821301,0,True,0.386871006,0.386871006
29,it3_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.976562500,0.273574391,0,True,0.319619198,0.319619198
30,it3_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-3.131835938,0.041812989,0,True,0.042712310,0.042712310
31,it3_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.604492188,0.068849870,0,True,0.071334758,0.071334758
32,it3_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-8.724609375,0.000162510,0,True,0.000162523,0.000162523
33,it3_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,1.105468750,0.751283382,1,False,1.391441109,1.391441109
34,it3_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.516601562,0.179962502,0,True,0.198405210,0.198405210
35,it3_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-5.317382812,0.004881629,0,True,0.004893583,0.004893583
36,it3_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-1.017578125,0.265499421,0,True,0.308564495,0.308564495
37,it3_B041,user_interrupts_nodbg,0,benign,0,config_041/vfpga_c041_0.bin,5.554687500,0.996145636,1,False,5.558549311,5.558549311
38,it3_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-2.281250000,0.092687779,0,True,0.097268653,0.097268653
39,it3_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-4.867187500,0.007636216,0,True,0.007665522,0.007665522
40,it3_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-4.579101562,0.010159832,0,True,0.010211795,0.010211795
41,it3_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.223632812,0.038286000,0,True,0.039038170,0.039038170
42,it3_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,1.214843750,0.771154872,1,False,1.474709803,1.474709803
43,it3_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,3.408203125,0.967959922,1,False,3.440767721,3.440767721
44,it3_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-0.037109375,0.490723721,0,True,0.674764621,0.674764621
45,it3_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.945312500,0.125065383,0,True,0.133606118,0.133606118
46,it3_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.995117188,0.730097477,1,False,1.309694411,1.309694411
47,it3_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,4.356445312,0.987338478,1,False,4.369187674,4.369187674
48,it3_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,4.907226562,0.992661291,1,False,4.914592332,4.914592332
49,it3_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-6.008789062,0.002451039,0,True,0.002454048,0.002454048
50,it3_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-3.331054688,0.034521061,0,True,0.035130991,0.035130991
51,it3_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,2.648437500,0.933914621,1,False,2.716807757,2.716807757
52,it3_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-6.236328125,0.001953206,0,True,0.001955116,0.001955116
53,it3_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-4.316406250,0.013171950,0,True,0.013259469,0.013259469
54,it3_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,5.551757812,0.996134371,1,False,5.555630932,5.555630932
55,it3_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,2.238281250,0.903634895,1,False,2.339611127,2.339611127
56,it3_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-7.152343750,0.000782414,0,True,0.000782720,0.000782720
57,it3_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-4.189453125,0.014928338,0,True,0.015040887,0.015040887
58,it3_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-5.560546875,0.003831932,0,True,0.003839293,0.003839293
59,it3_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-5.448242188,0.004285420,0,True,0.004294628,0.004294628
60,it3_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-4.668945312,0.009294953,0,True,0.009338420,0.009338420
61,it3_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-3.719726562,0.023666896,0,True,0.023951455,0.023951455
62,it3_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-5.051757812,0.006357402,0,True,0.006377696,0.006377696
63,it3_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-3.299804688,0.035577890,0,True,0.036226207,0.036226207
64,it3_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-7.068359375,0.000850905,0,True,0.000851267,0.000851267
65,it3_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-1.003906250,0.268174100,0,True,0.312212634,0.312212634
66,it3_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-6.455078125,0.001570047,0,True,0.001571281,0.001571281
67,it3_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-4.384765625,0.012312326,0,True,0.012388751,0.012388751
68,it3_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-3.043945312,0.045479593,0,True,0.046546256,0.046546256
69,it3_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-5.584960938,0.003739857,0,True,0.003746868,0.003746868
70,it3_B074,euclidean_nodbg,0,benign,0,config_074/vfpga_c074_0.bin,-4.339843750,0.012870749,0,True,0.012954295,0.012954295
71,it3_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,-6.490234375,0.001515892,0,False,6.491751417,6.491751417
72,it3_S001,ro_8750,1,standalone,8750,config_076/vfpga_c076_0.bin,-4.083984375,0.016561337,0,False,4.100684384,4.100684384
73,it3_S002,ro_9500,1,standalone,9500,config_077/vfpga_c077_0.bin,-0.870117188,0.295229918,0,False,1.220000842,1.220000842
74,it3_S003,ro_10250,1,standalone,10250,config_078/vfpga_c078_0.bin,1.116210938,0.753285208,1,True,0.283311361,0.283311361
75,it3_S004,ro_11000,1,standalone,11000,config_079/vfpga_c079_0.bin,1.984375000,0.879146768,1,True,0.128803424,0.128803424
76,it3_S005,ro_11750,1,standalone,11750,config_080/vfpga_c080_0.bin,0.222656250,0.555435231,1,True,0.588003273,0.588003273
77,it3_S006,ro_12500,1,standalone,12500,config_081/vfpga_c081_0.bin,-0.672851562,0.337858623,0,False,1.085127747,1.085127747
78,it3_S007,ro_13250,1,standalone,13250,config_082/vfpga_c082_0.bin,-1.597656250,0.168309441,0,False,1.781951082,1.781951082
79,it3_S008,ro_14000,1,standalone,14000,config_083/vfpga_c083_0.bin,4.971679688,0.993116219,1,True,0.006907583,0.006907583
80,it3_S009,ro_14750,1,standalone,14750,config_084/vfpga_c084_0.bin,-0.993164062,0.270287569,0,False,1.308268815,1.308268815
81,it3_S010,ro_15500,1,standalone,15500,config_085/vfpga_c085_0.bin,7.166992188,0.999228955,1,True,0.000771343,0.000771343
82,it3_S011,ro_16250,1,standalone,16250,config_086/vfpga_c086_0.bin,10.090820312,0.999958543,1,True,0.000041458,0.000041458
83,it3_S012,ro_17000,1,standalone,17000,config_087/vfpga_c087_0.bin,5.610351562,0.996353563,1,True,0.003653102,0.003653102
