sample_id,class_label,class_name,source_type,app_id,app_name,variant_id,floorplan_id,ro_count,target_ro_lut_count,target_ro_lut_pct,target_device,target_device_luts,batch_id,config_local,config_global,shell_id,tool_version,bitstream_path,timing_status,wns,lut_count,ff_count,bram_count,dsp_count,validation_status,file_hash,notes
S000,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP06,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,0,0,c4985680,Vivado v.2024.2,config_000/vfpga_c000_0.bin,PASS,0.019,87136,15381,34.5,0,PASS,6e356d9bcf700ec4b463c3c77cdc0c1151a49dbacba49c409e6ae03ebc7eba6e,target_pct_nominal=6.0
S001,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP06,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,1,1,c4985680,Vivado v.2024.2,config_001/vfpga_c001_0.bin,PASS,0.044,106696,15381,34.5,0,PASS,14a1074d1cb4b2cead5af8de18f5fba9b41aab92ba0dbda75639727182d20c3a,target_pct_nominal=7.5
S002,1,standalone,standalone,RO_39120,ro_39120,big_hammer_ro,FP06,39120,117360,9.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,2,2,c4985680,Vivado v.2024.2,config_002/vfpga_c002_0.bin,FAIL,-0.404,126256,15381,34.5,0,FAIL,c215ebe204e31fac48e5dfeeb44e0bafdf23af4871b4b97d09ca2407c1fe6dbf,target_pct_nominal=9.0
S003,1,standalone,standalone,RO_45640,ro_45640,big_hammer_ro,FP06,45640,136920,10.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,3,3,c4985680,Vivado v.2024.2,config_003/vfpga_c003_0.bin,FAIL,-0.23,145816,15381,34.5,0,FAIL,8a3bad0ef3a849bacb61b280be026f3de2d8b1cd8fa245297b57f67a5df384b5,target_pct_nominal=10.5
S004,1,standalone,standalone,RO_52160,ro_52160,big_hammer_ro,FP06,52160,156480,12.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,4,4,c4985680,Vivado v.2024.2,config_004/vfpga_c004_0.bin,FAIL,-0.669,165376,15381,34.5,0,FAIL,e931699dc4432535e8a0d11c9edd87f2193ce0a4bf616f925eb0b4b101b4c0b6,target_pct_nominal=12.0
S005,1,standalone,standalone,RO_58680,ro_58680,big_hammer_ro,FP06,58680,176040,13.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,5,5,c4985680,Vivado v.2024.2,config_005/vfpga_c005_0.bin,FAIL,-0.32,184936,15381,34.5,0,FAIL,6da556776d5878784d09994da9b134aa7ad22415c1923a3b73e76a567c4e860f,target_pct_nominal=13.5
S006,1,standalone,standalone,RO_65200,ro_65200,big_hammer_ro,FP06,65200,195600,15.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,6,6,c4985680,Vivado v.2024.2,config_006/vfpga_c006_0.bin,FAIL,-0.274,204496,15381,34.5,0,FAIL,c6ebce13d637a65c67f1ce79042bc3b4ea1dc642fcedc723c7b8032af626719f,target_pct_nominal=15.0
S007,1,standalone,standalone,RO_71720,ro_71720,big_hammer_ro,FP06,71720,215160,16.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,7,7,c4985680,Vivado v.2024.2,config_007/vfpga_c007_0.bin,FAIL,-0.424,224056,15381,34.5,0,FAIL,6d012d4bf123164d56c17d2c9925debafcd421271cd2f1ead32bf8368f6f746b,target_pct_nominal=16.5
S008,1,standalone,standalone,RO_78240,ro_78240,big_hammer_ro,FP06,78240,234720,18.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,8,8,c4985680,Vivado v.2024.2,config_008/vfpga_c008_0.bin,FAIL,-0.273,243616,15381,34.5,0,FAIL,7e73287cef4399129a18f5fa7bef3f09fb8071703aaecb19520c55147d625073,target_pct_nominal=18.0
S009,1,standalone,standalone,RO_84760,ro_84760,big_hammer_ro,FP06,84760,254280,19.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,9,9,c4985680,Vivado v.2024.2,config_009/vfpga_c009_0.bin,FAIL,-0.284,263176,15381,34.5,0,FAIL,72ba55fa39f8f779df4d98362235bceec19b0de8031e8cfe2a98be591da5868a,target_pct_nominal=19.5
S010,1,standalone,standalone,RO_91280,ro_91280,big_hammer_ro,FP06,91280,273840,21.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,10,10,c4985680,Vivado v.2024.2,config_010/vfpga_c010_0.bin,FAIL,-0.514,282736,15381,34.5,0,FAIL,d3eafc4db689be0c2f71b4ab67fe766b65563cdbb585e4edf807cb53d59f17c8,target_pct_nominal=21.0
S011,1,standalone,standalone,RO_97800,ro_97800,big_hammer_ro,FP06,97800,293400,22.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,11,11,c4985680,Vivado v.2024.2,config_011/vfpga_c011_0.bin,FAIL,-0.503,302296,15381,34.5,0,FAIL,387a02a55e4e1be4577add565157a3babeb930c538b02e8c089ad607361b622c,target_pct_nominal=22.5
S012,1,standalone,standalone,RO_108666,ro_108666,big_hammer_ro,FP06,108666,325998,24.9998,xcu55c-fsvh2892-2L-e,1304000,STAND_FP06,12,12,c4985680,Vivado v.2024.2,config_012/vfpga_c012_0.bin,FAIL,-0.286,334894,15381,34.5,0,FAIL,7265d1471102c68bfc90e5aa302c871fd1b38ecbed4c9f806ff4ceabe8cdbb25,target_pct_nominal=25.0
S013,1,standalone,standalone,RO_26080,ro_26080,big_hammer_ro,FP08,26080,78240,6.0000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,0,13,c4985680,Vivado v.2024.2,config_013/vfpga_c013_0.bin,PASS,0.03,87136,15381,34.5,0,PASS,5d9645c614be4c2b329be38581129b43f2ce0db5fa6dbced23cab1155f8bc3be,target_pct_nominal=6.0
S014,1,standalone,standalone,RO_32600,ro_32600,big_hammer_ro,FP08,32600,97800,7.5000,xcu55c-fsvh2892-2L-e,1304000,STAND_FP08,1,14,c4985680,Vivado v.2024.2,config_014/vfpga_c014_0.bin,PASS,0.044,106696,15381,34.5,0,PASS,4d06b7297854ce0456896e945827c7600d3c578833b56fe06c17e5286ac26ff3,target_pct_nominal=7.5
